PM2.5,PM10,NO2,SO2,CO,O3,AQI
146.58,47.98,44.87,58.86,3.59,83.1,147.18
182.01,128.2,186.87,68.84,4.87,27.33,210.46
91.04,258.91,56.58,35.07,2.73,122.57,159.58
210.02,146.5,34.23,39.39,2.54,15.01,162.77
258.74,372.07,22.54,74.0,1.02,18.71,206.76
235.06,35.59,114.86,92.92,3.21,54.62,183.94
16.69,224.27,27.18,63.64,2.99,22.12,110.19
146.75,240.44,32.06,79.41,3.29,73.98,180.05
35.95,264.56,63.51,18.82,0.23,62.95,91.56
76.4,109.71,59.92,22.77,2.79,109.66,122.05
296.07,152.18,122.83,54.14,3.02,143.19,239.41
47.04,339.04,164.27,19.3,1.12,114.27,147.08
152.17,86.03,153.46,64.23,1.12,31.02,128.98
187.36,332.48,56.18,30.58,1.45,140.65,195.82
212.23,229.44,52.84,79.57,3.59,61.86,209.75
170.1,307.25,193.33,81.19,3.07,73.76,223.73
7.88,288.31,6.61,47.45,4.24,66.13,140.13
101.31,90.93,176.55,19.72,1.55,45.68,117.24
157.72,231.84,43.95,65.38,4.57,134.78,211.34
30.92,348.41,189.72,99.29,3.74,53.17,184.58
108.43,178.53,71.75,63.01,2.04,88.9,140.01
14.79,386.97,90.87,5.51,0.57,39.8,111.97
28.18,186.36,142.89,3.69,1.36,120.62,108.83
122.09,65.69,119.6,33.4,4.79,117.26,172.66
44.15,161.88,67.0,21.19,1.62,47.97,93.71
172.42,381.16,113.0,81.68,1.72,103.83,211.64
208.39,134.69,147.49,84.79,1.03,107.06,172.39
241.17,348.56,13.26,27.34,4.05,86.56,244.69
64.04,353.69,7.18,33.91,1.45,92.09,136.4
54.41,146.57,94.32,25.15,1.72,88.3,106.76
35.85,42.47,30.71,91.02,2.13,16.87,71.03
192.75,292.58,134.55,51.26,2.23,102.19,209.63
213.41,131.49,46.74,66.3,2.12,73.12,168.0
14.32,315.34,89.41,42.72,2.57,68.58,135.29
281.18,182.64,43.55,63.84,4.09,129.7,242.74
20.33,199.25,111.95,39.81,4.11,8.37,131.73
164.68,313.38,27.63,35.29,4.01,41.44,202.62
214.17,159.12,9.51,64.18,0.6,22.6,137.66
261.94,182.82,14.97,59.92,4.02,10.12,211.37
215.66,156.71,191.08,30.77,0.69,44.97,166.43
241.51,153.26,32.75,16.64,0.71,148.33,166.75
105.14,215.12,143.15,38.12,4.74,44.18,188.16
245.37,325.43,18.25,42.69,4.12,101.24,247.15
28.63,151.09,26.09,63.61,2.81,22.15,97.37
268.97,214.46,104.23,91.62,4.39,92.27,254.93
166.54,271.58,95.65,5.55,4.95,147.75,232.22
246.1,115.08,190.56,25.88,3.09,47.32,206.11
138.43,118.23,189.24,20.98,3.1,127.97,175.25
194.86,374.03,157.02,51.22,3.8,149.65,260.82
160.29,292.18,122.41,44.11,1.24,90.34,177.44
220.82,235.1,93.72,73.45,0.92,49.86,178.01
29.08,262.61,74.45,25.76,3.82,102.66,150.63
22.8,21.43,189.68,60.26,1.79,127.5,93.86
77.9,251.06,122.57,88.62,0.76,29.85,124.52
52.07,208.71,117.92,91.25,1.64,70.61,124.62
262.18,222.84,50.22,95.96,1.86,51.28,202.12
69.67,150.18,14.11,77.78,4.83,46.09,147.15
292.88,41.77,189.31,90.79,3.52,129.82,235.26
104.38,85.4,66.18,24.98,2.7,66.14,121.7
58.72,380.79,91.3,21.36,4.85,54.17,196.32
237.96,169.39,27.35,2.64,4.53,92.51,215.19
199.32,192.01,168.2,71.27,2.61,36.81,195.14
151.97,30.56,10.39,93.87,4.54,38.33,151.66
168.83,24.65,167.63,20.32,2.08,80.44,142.92
217.16,289.7,32.36,64.42,1.23,64.34,184.19
72.39,219.86,177.88,75.15,1.24,47.77,132.89
298.92,208.4,147.31,92.91,3.35,12.82,244.74
292.56,104.82,37.11,65.39,2.56,80.51,200.5
196.85,300.45,115.33,97.09,3.33,123.41,234.28
63.87,75.61,65.97,35.78,3.46,128.45,125.34
205.67,84.07,39.76,36.29,0.21,39.14,117.69
26.3,189.68,172.54,55.22,0.36,91.95,99.12
14.04,121.65,83.69,39.58,2.71,129.1,106.48
81.02,106.51,82.72,2.14,1.04,64.27,91.51
141.47,261.64,38.13,73.71,3.2,140.16,191.02
261.14,263.88,79.7,75.67,2.81,135.93,239.23
219.51,331.56,174.97,75.2,2.97,35.18,237.71
224.1,172.91,75.81,35.81,1.58,42.55,169.29
130.52,38.5,190.56,53.18,3.24,31.16,147.01
107.05,116.73,189.53,37.28,4.16,33.43,165.81
114.46,392.2,33.26,3.57,4.99,136.64,224.92
296.36,242.54,39.58,57.12,4.21,140.01,262.83
16.83,286.8,173.22,14.13,2.83,12.53,135.84
260.77,12.87,81.59,9.84,1.05,91.07,149.48
175.71,212.1,5.85,76.04,3.44,86.81,185.79
134.39,24.64,58.41,2.93,4.69,61.63,147.4
218.95,232.0,121.54,95.98,1.14,96.6,193.37
148.57,369.1,160.86,52.5,1.35,142.37,204.3
262.66,387.68,31.01,98.34,0.83,29.69,213.99
270.71,220.82,26.56,7.68,3.71,22.46,216.22
129.41,188.7,184.81,59.19,2.09,9.84,156.0
86.66,378.56,151.47,36.23,0.41,57.76,151.49
179.74,272.71,120.01,84.66,4.39,53.96,226.81
274.15,35.31,154.99,37.4,2.83,67.47,196.32
67.15,191.63,88.63,27.53,1.72,77.98,118.76
188.78,103.7,152.9,86.04,1.79,114.88,171.8
191.31,193.22,77.5,38.72,1.52,61.86,162.78
221.27,187.63,52.6,3.65,2.33,52.94,177.21
43.81,237.04,147.16,40.25,1.75,124.9,136.04
216.17,149.14,86.84,66.14,2.78,128.22,196.94
273.16,74.07,196.37,26.93,3.89,38.75,220.39
58.01,206.45,73.15,44.33,3.4,50.63,138.57
75.08,333.78,184.74,7.56,1.54,124.64,167.09
291.56,268.96,186.93,59.63,2.69,16.51,247.26
58.39,141.96,52.16,76.12,4.22,52.25,138.27
257.04,374.85,160.65,42.5,0.43,70.01,223.15
150.22,365.76,89.45,43.18,0.48,32.13,163.05
77.93,91.65,183.92,10.65,2.83,31.09,125.2
261.87,25.37,92.77,21.79,3.23,66.6,184.38
136.37,299.11,150.14,17.16,1.14,114.41,172.8
156.87,332.77,96.06,49.21,3.75,126.83,223.93
110.97,387.47,49.42,53.87,3.27,146.99,205.73
179.92,357.04,43.87,95.0,4.62,15.73,231.18
53.24,244.21,87.96,9.18,0.93,36.42,103.63
120.37,216.72,152.32,60.79,3.78,114.71,194.35
290.98,20.86,122.99,53.6,0.51,83.39,164.53
81.15,106.2,139.28,52.59,2.87,52.51,130.78
198.74,189.25,60.05,87.57,2.8,34.81,182.4
100.93,255.12,98.88,22.14,2.0,45.67,145.34
233.17,227.33,13.66,6.0,4.24,67.25,215.05
43.61,299.63,164.42,67.88,0.12,30.69,115.24
291.1,119.11,198.03,35.83,2.65,144.81,235.0
138.87,230.33,84.34,3.72,1.16,20.6,135.19
74.63,44.38,7.14,26.63,3.74,147.91,120.8
26.68,171.33,38.11,32.31,0.31,127.07,77.61
55.08,302.56,132.24,62.45,4.17,66.36,181.2
158.33,280.43,124.36,18.91,4.21,112.27,219.9
104.42,396.35,158.63,42.48,4.18,102.37,227.15
249.52,118.38,54.51,49.28,0.85,35.93,154.69
132.11,204.29,153.91,47.01,3.19,54.17,177.45
78.37,138.52,139.16,97.45,0.17,79.4,104.14
187.06,181.84,67.95,6.46,4.26,97.49,200.48
213.5,344.21,111.37,95.19,3.64,83.72,247.66
54.28,276.84,33.72,59.03,2.7,73.58,139.62
54.45,354.15,93.25,79.98,3.68,69.26,180.18
15.82,89.37,176.83,44.18,0.56,77.25,75.16
222.24,350.61,87.13,46.48,2.69,67.98,227.29
200.82,33.31,168.72,88.17,1.53,83.49,156.55
145.02,356.55,120.1,89.8,4.87,133.76,249.36
254.03,138.34,42.42,25.39,4.3,96.76,217.19
242.67,132.69,118.32,21.53,3.69,109.78,215.37
177.68,209.71,103.67,50.63,4.68,91.64,217.5
261.14,376.87,82.74,90.23,1.8,98.24,242.99
65.72,28.63,28.33,33.59,4.51,88.86,120.67
38.02,147.37,86.26,65.9,1.69,8.9,90.95
84.58,344.06,19.19,71.4,3.69,149.94,190.51
21.84,164.46,24.26,78.31,3.71,9.87,110.21
161.7,87.67,86.1,57.26,0.19,62.3,113.05
281.3,175.67,64.55,41.44,1.87,20.24,192.55
16.61,160.37,185.48,96.77,0.2,19.05,82.0
41.02,367.01,78.26,61.91,4.99,120.06,200.54
138.4,307.15,152.78,73.4,0.7,66.76,167.54
280.49,207.0,108.4,35.81,2.76,121.17,233.01
98.27,395.46,142.3,67.66,3.97,44.55,212.8
154.63,191.46,55.72,27.26,1.09,42.19,133.85
17.26,32.71,188.67,26.02,2.48,41.43,87.72
48.76,112.29,108.37,72.04,3.08,94.34,125.72
296.06,180.07,167.11,53.1,0.89,123.17,216.56
289.71,71.19,76.18,68.96,3.91,70.58,217.76
6.46,379.55,24.54,28.4,1.57,59.99,117.51
285.78,309.07,136.37,60.67,1.13,146.17,241.59
193.54,114.63,6.51,45.51,2.84,21.93,151.69
261.04,240.41,97.68,60.5,2.11,75.56,216.19
139.15,291.37,42.6,30.51,4.61,64.23,202.15
157.1,377.1,127.34,72.11,4.41,19.23,233.64
149.21,353.84,195.99,80.98,2.47,43.89,211.56
201.72,210.92,95.56,27.47,1.86,9.12,169.23
46.2,312.11,164.41,31.46,1.7,132.16,153.96
13.84,229.24,104.02,66.79,1.41,93.14,108.8
95.84,225.55,101.69,70.17,2.77,123.18,165.72
212.88,54.75,186.43,71.0,4.04,80.63,203.93
64.55,59.19,178.54,68.9,1.62,91.93,109.46
203.66,216.52,158.23,40.5,1.03,106.62,184.02
291.12,114.86,62.77,40.7,2.43,136.66,209.85
32.7,18.2,111.28,26.97,0.44,18.3,45.43
203.42,291.91,48.66,17.37,3.54,52.99,209.78
135.91,22.67,91.56,69.87,2.64,107.81,135.39
261.1,242.16,99.42,11.13,2.53,143.96,228.48
57.26,220.29,167.17,93.9,1.57,147.22,147.09
209.32,387.84,179.73,83.02,4.53,97.52,279.18
252.24,198.84,85.85,86.04,0.54,33.07,175.26
283.66,34.8,8.45,90.85,4.36,22.29,199.55
206.56,225.16,173.05,42.04,1.95,142.18,208.33
151.67,338.03,38.98,84.98,4.42,67.92,219.03
187.26,398.77,126.27,17.49,3.67,33.25,235.4
261.33,177.83,9.87,4.12,0.61,140.41,172.21
173.33,134.92,82.9,78.92,4.17,20.16,182.28
13.96,363.59,197.26,9.33,3.44,110.79,177.09
279.63,84.58,24.64,98.88,0.26,95.66,160.58
208.41,250.02,87.62,68.13,0.76,17.72,167.31
204.57,168.23,64.89,75.84,3.21,54.12,189.13
68.62,26.02,181.49,26.09,3.35,26.74,116.7
199.37,145.44,174.52,68.04,3.76,92.65,212.1
121.19,113.44,51.35,6.24,3.63,74.18,145.06
197.11,277.58,20.83,84.11,3.33,5.62,196.71
36.44,380.03,127.29,18.62,3.85,146.48,191.33
199.06,114.54,70.59,70.34,2.92,55.69,172.28
299.83,326.47,136.06,24.0,1.38,42.44,235.07
19.22,31.59,11.26,8.71,4.57,37.25,90.72
293.27,219.87,31.01,49.19,0.19,28.03,177.89
125.04,37.51,138.84,18.59,1.9,149.87,131.13
261.87,374.27,46.41,73.49,3.67,47.79,256.15
235.8,308.88,172.23,25.28,2.19,63.8,226.93
172.27,266.6,16.43,35.56,0.22,131.35,151.28
222.84,331.32,47.02,57.61,0.42,98.07,189.28
264.16,262.53,199.72,29.93,3.28,58.46,249.07
124.22,387.89,89.45,39.04,4.83,135.26,237.29
101.47,288.44,142.08,81.93,2.8,113.71,186.9
201.94,370.62,40.62,19.56,2.58,38.05,207.4
243.31,211.68,123.92,10.06,1.66,98.34,198.9
229.87,55.66,146.59,34.18,1.36,138.75,169.67
240.36,215.99,66.32,43.59,0.2,76.99,168.24
133.5,59.48,166.63,55.18,1.44,111.37,134.08
246.26,241.07,122.67,38.5,2.3,145.81,225.35
40.46,198.17,80.88,79.41,1.07,105.11,107.71
165.62,252.8,113.74,5.85,0.53,19.85,145.36
6.7,13.92,117.47,44.31,3.62,40.46,87.84
100.75,85.99,37.28,39.46,4.48,91.29,147.98
113.11,201.62,83.53,65.46,4.69,44.96,181.74
121.87,380.7,71.97,96.7,3.13,143.84,213.85
210.16,159.61,83.18,52.02,0.36,63.78,148.61
119.62,175.51,153.42,98.71,3.73,71.3,182.48
137.36,288.73,99.09,31.62,0.64,106.73,156.32
75.08,245.48,188.36,5.03,3.38,81.02,170.76
115.11,126.58,62.27,18.23,3.92,60.41,150.37
72.04,170.22,86.06,40.72,3.66,16.11,137.11
26.59,94.9,158.46,33.0,4.76,91.48,141.87
183.02,386.75,111.47,11.51,3.72,130.8,243.8
202.12,60.95,111.67,44.4,3.5,104.44,182.35
187.75,155.02,15.4,35.14,1.38,60.32,141.71
141.73,20.08,82.73,14.02,4.63,23.52,147.52
117.04,96.49,57.79,31.02,0.98,123.37,111.09
259.68,314.38,199.87,88.87,4.53,141.55,294.86
158.13,88.46,65.13,31.6,1.63,61.3,127.55
146.36,41.22,177.48,71.97,0.74,110.65,128.27
12.56,195.04,136.87,61.98,4.15,64.56,142.71
105.67,13.89,71.48,43.86,0.11,77.83,73.51
117.16,43.06,110.99,25.42,4.18,126.29,156.27
122.65,324.97,168.9,38.16,1.39,17.1,166.55
176.15,310.87,177.26,60.03,4.44,81.9,244.04
162.41,366.9,36.28,36.37,3.49,36.12,205.17
184.33,343.26,71.22,23.06,3.36,54.27,213.98
230.64,276.44,70.37,13.41,1.89,98.44,202.56
244.83,30.41,13.2,88.22,0.39,8.95,122.02
216.85,315.31,121.66,45.15,4.17,91.1,248.74
286.88,339.75,171.69,63.27,0.94,46.1,235.76
10.38,321.64,79.41,50.06,1.92,102.08,129.57
62.75,208.31,149.31,87.51,3.04,25.53,147.37
7.23,100.83,127.4,55.6,2.46,111.69,101.43
196.01,339.68,78.25,49.12,1.07,98.62,193.88
269.92,293.59,32.51,92.61,0.79,145.83,214.53
76.83,392.5,143.32,72.53,0.7,137.13,169.11
278.48,70.72,171.64,12.93,4.33,46.08,224.42
22.78,98.01,138.74,19.42,0.25,8.96,56.63
280.66,92.6,8.49,79.14,4.89,100.03,228.29
108.73,319.09,47.17,83.91,1.07,92.42,152.73
34.92,82.89,18.55,55.43,0.64,8.98,49.83
148.33,36.0,116.23,56.34,2.93,22.79,136.93
80.75,399.44,152.51,63.93,0.49,89.78,162.3
89.04,19.68,26.56,45.03,3.05,137.21,114.4
95.65,335.75,168.48,68.66,4.27,136.44,222.03
241.89,152.49,113.32,12.63,0.33,26.97,154.58
164.05,338.23,139.54,96.21,4.02,60.76,233.22
96.84,226.3,194.42,75.52,2.03,11.26,152.89
185.05,361.64,21.32,63.86,0.88,73.04,180.11
216.26,371.22,180.74,33.0,0.96,114.2,222.73
85.42,13.55,29.59,17.77,4.6,119.55,130.06
127.0,39.41,81.63,42.12,0.64,77.35,96.37
40.96,107.64,171.03,66.83,4.35,18.9,138.29
58.44,271.03,181.72,64.1,2.77,60.3,161.8
205.93,356.43,103.74,39.5,0.29,140.15,198.56
58.52,189.38,120.85,62.1,2.38,38.29,127.01
159.92,246.72,143.09,81.75,4.11,51.36,212.24
214.17,83.51,167.39,4.58,3.66,113.29,199.81
36.53,323.94,28.69,46.16,2.5,111.37,142.45
172.36,387.26,162.96,76.34,4.31,137.27,263.78
80.69,114.75,98.85,55.52,0.69,61.28,95.14
289.06,202.98,92.87,65.84,4.56,79.62,257.06
147.65,43.59,87.66,52.63,4.25,72.77,160.82
242.77,228.06,104.3,99.2,3.57,139.52,242.77
167.32,206.09,189.28,7.35,4.11,116.55,216.37
17.81,66.33,111.9,50.12,2.76,125.56,102.49
191.78,182.41,190.87,10.96,3.41,24.3,197.69
285.66,140.3,40.16,17.66,2.85,119.82,210.79
182.48,213.51,146.21,39.54,1.84,67.78,179.37
246.66,238.41,163.39,17.24,2.89,8.38,217.15
265.84,13.31,137.43,96.44,1.36,13.71,161.74
72.28,306.79,123.35,94.79,2.26,103.3,167.61
67.55,288.08,115.14,34.94,1.48,58.94,136.38
185.24,152.85,172.88,64.7,0.7,130.88,167.23
126.25,30.65,165.22,54.31,1.68,111.47,128.72
252.76,304.42,28.85,81.93,4.27,8.14,239.85
270.51,382.52,170.47,63.49,1.97,104.6,261.83
109.26,103.66,85.74,2.02,3.77,32.89,138.91
74.88,136.17,54.47,76.79,0.96,66.27,97.35
235.26,81.69,174.6,75.19,2.18,95.59,191.18
86.07,235.01,89.24,51.95,0.66,131.54,129.68
247.67,70.39,162.63,90.49,0.78,71.13,168.95
130.0,148.92,56.36,91.03,3.13,122.23,164.56
201.93,281.84,5.77,53.34,3.08,118.53,207.27
33.18,228.45,101.61,61.58,1.15,65.11,107.31
189.04,160.72,24.54,99.66,2.42,77.64,169.42
138.27,173.9,152.1,31.28,4.33,106.57,196.97
178.05,229.22,58.83,33.81,0.95,9.52,145.0
54.56,12.29,91.51,19.91,0.19,134.17,63.04
222.38,40.62,21.97,89.79,3.29,116.62,176.27
259.53,353.69,60.9,74.96,0.36,41.17,202.79
68.94,40.37,157.39,12.35,4.9,147.27,156.11
33.24,285.65,34.56,98.21,3.09,31.01,136.39
11.97,368.81,131.2,73.63,2.4,137.54,162.3
194.38,115.57,183.9,85.35,2.21,52.05,177.9
184.09,154.49,137.57,6.72,2.91,115.66,186.81
166.28,231.88,163.15,51.49,0.54,71.17,161.34
73.42,353.87,26.25,70.46,4.66,111.79,197.75
120.32,377.34,53.89,55.21,3.17,27.59,188.82
180.37,298.43,179.44,67.33,1.0,44.08,187.12
151.55,43.78,144.45,82.15,2.86,19.48,145.03
296.4,270.97,129.71,38.69,0.75,130.45,226.94
45.25,170.02,134.43,85.17,0.19,47.96,90.77
210.07,193.57,85.77,17.97,3.19,105.7,201.1
124.27,29.17,13.69,28.55,3.28,123.93,128.2
131.32,84.51,157.97,6.25,2.96,135.71,158.51
216.69,318.3,137.35,37.71,1.0,20.41,192.76
209.27,187.04,97.2,39.23,3.06,134.49,205.64
297.42,127.65,180.45,80.92,0.38,33.6,190.35
42.88,159.77,70.55,66.01,3.09,111.85,129.34
35.71,343.22,62.39,44.8,2.81,110.68,155.59
218.68,302.11,175.2,65.91,3.31,6.23,231.36
175.62,116.2,160.41,7.17,4.49,36.99,191.14
85.88,55.83,105.42,19.67,4.27,76.33,138.75
28.43,108.28,30.49,63.44,4.91,65.91,127.41
30.27,369.1,46.94,64.85,4.88,138.19,193.44
268.79,236.82,132.96,77.87,3.88,57.16,249.45
61.6,218.06,80.08,41.49,4.79,140.86,177.34
100.39,242.59,168.11,72.81,4.35,71.62,197.16
71.86,152.75,190.24,69.03,3.67,144.83,171.44
109.72,324.77,162.1,96.41,0.47,111.92,166.63
25.48,214.08,78.62,23.08,0.34,125.25,91.0
158.12,55.53,158.79,56.06,4.2,20.21,169.88
24.95,60.34,73.53,60.97,2.5,89.99,90.16
241.11,219.38,37.58,99.87,4.09,25.69,221.17
73.95,375.26,11.51,21.72,1.63,48.16,140.25
164.3,130.26,80.21,53.28,2.05,95.42,154.17
264.62,349.12,181.19,35.93,3.53,110.3,275.95
197.01,308.0,51.6,53.54,4.59,10.68,223.88
162.22,106.65,45.27,24.75,0.53,81.99,115.73
100.68,24.17,194.12,6.67,4.32,86.97,152.75
103.24,49.72,9.88,58.11,3.99,16.43,120.78
202.5,294.11,158.23,34.91,1.65,77.6,203.38
298.27,87.87,67.67,19.83,1.84,108.51,192.9
200.24,154.8,12.31,33.75,0.33,12.72,123.1
169.55,205.66,183.97,6.83,0.18,115.24,157.17
220.54,292.93,32.23,95.14,2.44,88.58,211.0
142.24,54.16,112.6,58.95,0.57,125.82,117.91
22.74,168.48,58.44,81.85,1.05,36.62,81.0
170.88,199.18,17.71,43.47,4.25,125.82,197.8
287.5,220.92,14.73,90.52,2.9,18.71,216.72
56.71,329.16,27.53,49.37,3.2,63.56,155.19
208.55,76.95,18.92,58.25,1.02,33.93,127.84
64.28,325.05,153.31,50.2,4.16,132.02,200.95
163.07,280.22,99.69,73.86,4.35,107.21,224.99
33.52,226.79,71.86,57.53,2.66,8.68,116.56
137.86,282.82,86.58,28.62,4.57,6.38,197.09
228.07,170.69,186.14,16.26,4.24,47.23,225.59
107.53,63.98,182.6,61.4,3.68,25.78,148.46
201.15,269.65,144.56,49.94,3.7,96.39,230.98
239.66,214.62,177.51,11.41,0.62,101.25,190.99
278.52,259.36,67.33,40.77,1.43,141.58,220.1
74.22,141.82,79.32,52.45,0.43,143.05,103.06
122.8,363.68,124.67,83.04,0.14,100.54,166.08
49.96,239.07,126.61,9.46,0.88,5.82,101.75
297.78,43.31,98.93,36.15,4.41,57.05,221.0
278.47,185.42,83.13,82.62,1.28,79.41,200.24
164.29,304.98,197.31,65.55,4.85,77.38,247.27
253.4,319.71,165.12,30.42,3.03,92.48,252.39
158.68,202.89,89.82,84.84,1.26,144.28,166.59
188.96,358.95,146.82,50.34,2.54,133.35,232.47
31.29,114.39,57.56,50.84,1.17,20.79,69.84
227.8,170.13,24.53,97.71,4.92,43.57,218.96
42.68,360.45,73.72,94.82,4.25,125.8,192.35
248.69,359.54,83.58,37.14,0.23,124.52,209.74
235.7,277.43,8.22,15.78,4.74,44.93,230.48
214.08,345.0,163.88,33.92,3.63,110.94,253.75
15.67,44.62,75.04,4.99,0.5,102.45,49.87
94.42,347.35,118.18,4.04,3.39,73.66,187.21
82.62,135.04,19.42,40.76,3.27,34.21,121.23
111.24,79.55,39.12,94.22,1.17,133.85,113.36
30.85,103.35,178.49,87.39,3.82,103.29,141.26
281.4,173.01,123.69,52.12,0.53,29.5,183.25
168.37,107.96,190.31,57.39,2.5,107.2,176.78
95.13,135.02,199.76,2.58,0.15,112.51,114.38
122.11,62.64,77.51,23.12,4.85,133.6,168.05
136.92,125.51,63.27,4.43,3.78,37.31,152.14
182.18,233.19,172.38,75.94,0.88,148.37,188.39
157.13,182.32,199.73,16.27,1.77,27.24,161.6
276.22,145.22,127.78,87.17,0.89,92.1,194.53
151.6,301.12,160.05,65.05,3.86,100.29,224.27
297.69,358.47,157.44,24.48,0.39,65.75,232.52
256.17,305.15,74.29,17.46,4.22,73.88,250.74
66.51,139.48,116.98,63.51,4.72,134.18,169.28
279.53,300.33,167.45,90.28,3.42,98.56,272.04
39.33,69.27,139.18,72.4,1.14,77.07,86.42
246.15,60.82,9.13,36.16,1.86,23.61,147.12
117.28,144.79,70.66,59.56,2.44,6.06,129.91
264.0,325.0,33.17,32.45,3.06,23.12,228.23
261.08,106.08,50.43,99.92,3.38,143.65,215.4
242.75,34.67,181.57,75.39,2.82,115.79,198.41
238.06,61.37,12.19,62.21,1.82,145.23,164.65
94.88,344.91,47.86,43.48,4.47,10.18,186.97
28.87,257.18,65.37,62.58,0.5,103.63,102.07
123.88,108.75,125.29,35.48,2.38,11.42,131.13
56.19,226.57,109.15,4.83,3.9,118.4,160.91
210.01,215.76,47.56,40.72,0.4,60.24,153.37
107.1,265.62,37.03,93.19,3.56,18.89,167.01
292.81,100.94,51.18,63.38,4.12,87.37,226.18
194.09,347.12,102.99,10.23,3.34,45.62,220.44
247.63,130.65,57.88,88.73,0.16,100.64,160.28
44.09,280.71,189.78,28.35,0.98,100.44,134.89
259.29,16.29,95.45,25.89,1.78,107.23,166.61
277.21,155.34,16.47,31.11,1.25,148.91,188.55
148.68,147.17,147.21,58.57,4.82,61.07,198.26
183.84,221.96,69.12,55.38,3.29,72.47,194.1
230.62,38.37,132.43,50.16,1.56,121.67,166.38
56.58,318.15,59.52,72.32,4.66,88.86,185.58
153.26,94.93,116.3,33.02,3.73,10.4,158.53
122.61,274.04,155.57,78.64,1.49,127.25,176.56
48.18,323.25,185.96,19.18,1.96,12.47,144.95
113.42,229.13,55.92,78.7,1.08,29.77,128.08
25.11,298.94,70.3,67.05,4.86,19.8,162.93
12.61,268.13,95.53,68.95,2.63,16.3,121.86
44.87,148.66,185.8,49.19,4.49,8.72,149.14
289.12,325.45,180.77,67.37,1.8,12.98,243.51
167.11,124.93,22.53,9.82,4.32,69.15,171.34
289.92,232.77,30.73,85.45,0.36,41.66,187.39
132.59,300.71,101.62,7.44,4.91,23.35,206.35
96.99,157.79,25.79,16.58,4.57,100.51,159.49
154.31,128.08,72.39,58.53,1.88,37.79,137.91
134.66,189.14,33.94,74.46,3.9,7.75,163.83
36.17,329.01,129.03,9.47,3.79,65.67,167.21
194.04,372.67,190.15,92.23,4.52,50.01,265.14
68.73,222.58,199.36,97.41,1.61,51.2,143.42
187.78,267.97,78.17,61.38,2.38,69.56,192.72
196.81,362.28,121.81,49.16,4.34,101.99,254.74
49.85,48.43,171.97,74.66,3.92,94.39,135.77
23.1,100.51,27.91,34.18,2.03,140.9,88.5
235.32,286.47,139.47,50.34,4.24,80.07,253.05
140.64,331.26,84.72,91.78,0.33,73.52,160.37
22.16,344.24,45.2,95.65,3.93,35.95,158.43
298.49,171.89,83.54,92.85,1.11,114.53,209.47
22.05,44.84,19.81,27.72,1.5,25.41,49.87
210.04,180.73,140.6,24.78,2.52,76.21,192.91
295.19,99.99,54.28,31.17,2.3,66.09,193.8
75.56,123.57,65.72,45.25,2.65,100.45,124.15
46.96,311.18,28.61,32.79,2.77,138.06,150.84
40.81,39.46,173.61,38.67,1.72,142.26,101.33
94.47,332.76,101.22,62.82,0.96,29.33,144.58
34.81,176.79,116.57,76.73,3.87,42.96,138.87
209.19,242.46,116.04,74.08,2.06,122.69,206.28
23.38,44.96,85.05,81.81,2.58,80.15,89.98
155.28,141.57,42.54,5.15,3.26,70.69,156.81
299.03,44.98,150.3,6.68,4.56,108.04,236.38
245.12,385.0,29.78,79.36,3.57,92.28,254.8
186.49,324.83,25.26,54.24,0.32,145.75,175.48
95.34,189.26,143.48,58.66,4.21,89.68,179.96
189.05,97.2,45.72,7.15,4.95,72.57,187.74
160.48,374.05,64.82,27.02,2.42,83.71,200.21
130.69,144.39,97.67,64.56,4.85,122.24,193.36
43.56,72.78,92.62,86.2,2.78,93.84,110.3
266.55,229.63,143.17,91.86,2.35,98.82,233.31
137.69,378.07,126.57,51.04,1.72,145.86,202.52
62.41,11.49,130.66,55.46,3.32,94.67,116.44
113.49,102.87,144.24,83.64,1.23,60.14,123.38
127.17,375.99,62.06,54.69,0.61,105.24,165.84
249.12,76.72,67.85,52.65,0.23,100.62,149.03
221.42,54.16,90.41,90.7,1.53,7.01,146.07
231.94,232.37,64.96,79.41,2.04,72.76,198.44
8.25,346.12,197.06,91.09,2.81,112.72,170.18
127.77,196.07,163.74,23.39,1.53,77.36,151.84
147.0,397.88,37.11,53.39,4.92,118.05,240.81
10.66,274.88,6.09,84.56,1.53,70.38,102.11
81.64,38.89,13.34,12.89,2.26,147.58,99.78
229.29,397.2,52.59,79.88,0.61,47.47,203.24
45.45,169.08,27.29,19.93,1.38,18.36,81.49
162.92,122.09,109.0,81.2,0.34,67.35,129.21
68.48,227.57,172.31,61.98,2.84,83.55,160.11
8.58,128.68,148.67,20.94,3.78,55.62,118.61
76.15,43.72,47.04,48.39,1.06,40.13,73.01
292.88,10.56,82.86,68.83,1.9,102.45,182.49
241.45,185.34,104.04,64.12,0.18,59.68,167.34
288.08,336.38,162.99,43.87,4.21,96.55,289.03
148.92,233.2,168.63,90.14,3.92,117.97,217.04
37.37,399.69,182.4,52.89,0.41,115.35,150.99
166.65,121.87,104.3,51.57,1.89,59.42,149.07
139.04,119.38,140.38,8.1,4.78,87.35,186.17
254.09,72.3,26.8,92.37,2.02,70.2,170.2
33.93,73.98,115.23,19.36,2.68,131.27,107.46
149.03,121.22,53.49,53.78,1.84,132.42,144.73
49.26,319.21,89.18,80.75,3.02,54.84,158.54
100.78,363.25,128.64,23.11,4.89,18.3,210.71
